goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateMoves40-8   	 5912770	       200 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5852419	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5941178	       201 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5881069	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5942106	       201 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5968777	       200 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5852667	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5970793	       201 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 6028747	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 6059271	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5998812	       201 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 6059803	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 8275662	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9752536	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9448788	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9914806	       128 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 8693710	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	10001140	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9917166	       125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9836242	       125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9596514	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9677520	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9603510	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9600637	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9680853	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9674992	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9520748	       125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9599961	       126 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9520702	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9524073	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9756152	       125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9996208	       124 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	219.289s
