goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateMoves30-8   	 4597680	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4546267	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4706110	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5998712	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5999970	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5939905	       209 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5941522	       219 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5714353	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5606347	       209 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5823859	       211 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5556614	       209 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5797036	       206 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5741584	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5910447	       212 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5911384	       211 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5798395	       207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5084637	       234 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5769235	       220 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5882331	       205 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5826690	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 4838720	       223 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5741659	       206 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves40-8   	 5529067	       206 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9921183	       125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9833356	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9835363	       127 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9917584	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9756660	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9836032	       121 ns/op	       0 B/op	       0 allocs/op
