goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves/40-8         	 5939232	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5939637	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5911332	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5939252	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5940608	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5909906	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5909982	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5940675	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5911384	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5882404	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5882265	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5911321	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5911402	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5910010	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5940643	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5911358	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 5939037	       203 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10616030	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10522189	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10430954	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10526426	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10434782	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10526352	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10616095	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10522051	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10616124	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10522078	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10618566	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10522189	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10348806	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10619421	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10615090	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10430592	       114 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10616320	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10527136	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10618246	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10615306	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkPerft-8                         	       1	7296267000 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7290026900 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7642160100 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7291006200 ns/op	75195472 B/op	   73440 allocs/op
BenchmarkPerft-8                         	       1	7264992500 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7273991400 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7251002200 ns/op	75195472 B/op	   73440 allocs/op
BenchmarkPerft-8                         	       1	7265997300 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7289024400 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7264984400 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7257005300 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7284999400 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7257998200 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7255038000 ns/op	75195472 B/op	   73440 allocs/op
BenchmarkPerft-8                         	       1	7321037900 ns/op	75195664 B/op	   73442 allocs/op
BenchmarkPerft-8                         	       1	7269988900 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7342004500 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7387962500 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7387003300 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7450029700 ns/op	75195280 B/op	   73438 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	370.410s
