goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves30-8   	 4706080	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4686924	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4705257	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4687605	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4686710	       252 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4650579	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4761890	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4723579	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4684195	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4686832	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4668436	       251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4743129	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4723780	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6030074	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6060345	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6001530	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6090476	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6060691	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6089913	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6060994	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6029050	       200 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6059170	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5939185	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5910060	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5905359	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5825168	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5581459	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5767959	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5941776	       206 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5852790	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5797249	       213 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5797176	       202 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 6000042	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10710211	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10710957	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10619421	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10713548	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10806214	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10711186	       112 ns/op	       0 B/op	       0 allocs/op
