goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateMoves50-8   	10169577	       117 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9914798	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 8698431	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkPerft-8             	       1	8619001100 ns/op	2098574032 B/op	15880338 allocs/op
BenchmarkPerft-8             	       1	8471032600 ns/op	2098572208 B/op	15880319 allocs/op
BenchmarkPerft-8             	       1	8358002200 ns/op	2098572400 B/op	15880321 allocs/op
BenchmarkPerft-8             	       1	8371031200 ns/op	2098573552 B/op	15880333 allocs/op
BenchmarkPerft-8             	       1	8489001200 ns/op	2098573648 B/op	15880334 allocs/op
BenchmarkPerft-8             	       1	8495029800 ns/op	2098574992 B/op	15880348 allocs/op
BenchmarkPerft-8             	       1	8607968500 ns/op	2098574512 B/op	15880343 allocs/op
BenchmarkPerft-8             	       1	8551999900 ns/op	2098575472 B/op	15880353 allocs/op
BenchmarkPerft-8             	       1	8519033000 ns/op	2098576816 B/op	15880367 allocs/op
BenchmarkPerft-8             	       1	8502002300 ns/op	2098575280 B/op	15880351 allocs/op
BenchmarkPerft-8             	       1	8476003500 ns/op	2098576432 B/op	15880363 allocs/op
BenchmarkPerft-8             	       1	8776036600 ns/op	2098574704 B/op	15880345 allocs/op
BenchmarkPerft-8             	       1	8643960800 ns/op	2098575376 B/op	15880352 allocs/op
BenchmarkPerft-8             	       1	8739166200 ns/op	2098575664 B/op	15880355 allocs/op
BenchmarkPerft-8             	       1	8461999700 ns/op	2098573648 B/op	15880334 allocs/op
BenchmarkPerft-8             	       1	8421208600 ns/op	2098572208 B/op	15880319 allocs/op
BenchmarkPerft-8             	       1	8430000700 ns/op	2098574320 B/op	15880341 allocs/op
BenchmarkPerft-8             	       1	8730999600 ns/op	2098574896 B/op	15880347 allocs/op
BenchmarkPerft-8             	       1	8572006800 ns/op	2098577200 B/op	15880371 allocs/op
BenchmarkPerft-8             	       1	8701959000 ns/op	2098574800 B/op	15880346 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	395.333s
