goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves30-8   	 4528300	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4494411	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4545132	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4270477	       277 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4460960	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves30-8   	 4411155	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5741989	       205 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5825516	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5825211	       209 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5740986	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5795760	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5880960	       204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5768232	       214 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5877739	       211 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5687198	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5769296	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5607502	       207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5998742	       206 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5824032	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5769266	       207 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5911282	       212 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5881449	       205 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5767857	       210 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5824159	       206 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5968753	       205 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves40-8   	 5853672	       208 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10257926	       119 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9299030	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10256226	       119 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9999924	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9835718	       119 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10166113	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9917486	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10000090	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10003467	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9757326	       120 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9997449	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9999765	       120 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9999991	       119 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9758334	       119 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10169266	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10168483	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9680752	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 8888854	       119 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9522456	       122 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	 9676887	       120 ns/op	       0 B/op	       0 allocs/op
BenchmarkPerft-8             	       1	7513998700 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8             	       1	7448166400 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7488333700 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8             	       1	7458999200 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7612220700 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8             	       1	7465176300 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7436039400 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8             	       1	7486183900 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7528034100 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7723033900 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7493054200 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8             	       1	7482037600 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7470219300 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7489965400 ns/op	75195472 B/op	   73440 allocs/op
BenchmarkPerft-8             	       1	7438146200 ns/op	75195568 B/op	   73441 allocs/op
BenchmarkPerft-8             	       1	7456152500 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8             	       1	7573035100 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8             	       1	7499256500 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8             	       1	7471166500 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8             	       1	7495208900 ns/op	75195280 B/op	   73438 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	372.699s
