goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves/20-8         	 4460998	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4460172	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4412002	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4510465	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4545460	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4510482	       271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4493829	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4528218	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4391941	       274 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4427770	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4378815	       277 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4800013	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4686867	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705188	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4743043	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4706079	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705861	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4686932	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4723767	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4723510	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4704951	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705273	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4799932	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4706110	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705218	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4664211	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4761909	       254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4706436	       253 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4781230	       255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4724491	       252 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/30-8         	 4705881	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6060612	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6091039	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6062068	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6089956	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6059265	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6090772	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6091335	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6089919	       198 ns/op	       0 B/op	       0 allocs/op
